Frame_100.png -71,33058 -324,2053 -343,2547 0,6221554 0,05244308 2,922992
Frame_101.png -71,26871 -324,5644 -343,2202 0,6221715 0,05265702 2,92316
Frame_102.png -71,21868 -324,8536 -343,1922 0,622184 0,0528301 2,923294
Frame_103.png -71,16787 -325,1478 -343,1638 0,6221972 0,05300546 2,923431
Frame_104.png -71,10197 -325,5276 -343,1271 0,6222139 0,05323318 2,923608
Frame_105.png -71,05117 -325,8192 -343,0989 0,6222265 0,05340757 2,923743
Frame_106.png -71,00002 -326,1133 -343,0703 0,6222394 0,05358343 2,92388
Frame_107.png -70,93683 -326,4755 -343,0351 0,6222553 0,05380054 2,924048
Frame_108.png -70,88605 -326,7655 -343,0069 0,622268 0,05397277 2,924183
Frame_109.png -70,83522 -327,0562 -342,9785 0,6222805 0,05414762 2,924318
Frame_110.png -71,23016 -327,5197 -342,7613 0,621991 0,05472073 2,923017
Frame_111.png -71,60464 -327,8977 -342,5651 0,6217223 0,05521962 2,921792
Frame_112.png -71,98164 -328,2767 -342,3677 0,6214532 0,05572201 2,920559
Frame_113.png -72,44201 -328,7376 -342,1267 0,621128 0,05633253 2,919063
Frame_114.png -72,8102 -329,1044 -341,934 0,6208684 0,05681891 2,917865
Frame_115.png -73,18164 -329,4731 -341,7398 0,620609 0,05730794 2,916662
Frame_116.png -73,68281 -329,9362 -341,4826 0,6202599 0,05794432 2,91504
Frame_117.png -74,20946 -330,3332 -341,2259 0,6198929 0,05855362 2,91334
Frame_118.png -74,81619 -330,7877 -340,9305 0,619474 0,05925279 2,911388
Frame_119.png -75,49757 -331,2949 -340,5987 0,6190073 0,06003466 2,909202
Frame_120.png -76,05111 -331,7041 -340,3294 0,6186318 0,06066706 2,907429
Frame_121.png -76,6177 -332,1056 -340,056 0,6182474 0,06130234 2,905616
Frame_122.png -77,44724 -332,6203 -339,6664 0,617682 0,06218552 2,902967
Frame_123.png -78,1153 -333,0316 -339,3528 0,6172316 0,06289268 2,900842
Frame_124.png -78,81665 -333,4602 -339,0239 0,6167621 0,06363259 2,898613
Frame_125.png -79,7169 -333,9856 -338,6047 0,6161607 0,06456592 2,895758
Frame_126.png -80,55175 -334,4319 -338,2215 0,6156003 0,06540569 2,893112
Frame_127.png -81,36008 -334,8602 -337,8507 0,6150628 0,06621426 2,890557
Frame_128.png -82,36323 -335,3867 -337,3909 0,6144037 0,06721313 2,887397
Frame_129.png -83,28056 -335,825 -336,9761 0,6137925 0,06810025 2,884503
Frame_130.png -84,22138 -336,2666 -336,5513 0,6131716 0,06900343 2,881544
Frame_131.png -85,39301 -336,8102 -336,0227 0,6124089 0,07012314 2,877872
Frame_132.png -86,44762 -337,2587 -335,552 0,6117114 0,07110569 2,874562
Frame_133.png -87,51694 -337,7078 -335,0749 0,6110137 0,07209741 2,871218
Frame_134.png -88,90585 -338,2707 -334,4574 0,6101116 0,07337136 2,866883
Frame_135.png -90,11263 -338,7318 -333,9239 0,6093243 0,074461 2,863118
Frame_136.png -91,32378 -339,1878 -333,3889 0,6085451 0,07554825 2,859351
Frame_137.png -92,93381 -339,7541 -332,6819 0,6074994 0,0769707 2,854345
Frame_138.png -94,26016 -340,2095 -332,1002 0,6066502 0,07813394 2,850236
Frame_139.png -95,69455 -340,673 -331,4741 0,6057234 0,07937498 2,845788
Frame_140.png -97,52155 -341,2438 -330,6779 0,6045559 0,08094104 2,840142
Frame_141.png -99,22472 -341,7426 -329,9389 0,6034615 0,08238168 2,834879
Frame_142.png -100,8677 -342,2064 -329,2271 0,6024162 0,08375979 2,829818
Frame_143.png -102,954 -342,7625 -328,326 0,6010896 0,08548984 2,823398
Frame_144.png -104,7875 -343,2207 -327,5364 0,5999205 0,08699252 2,817762
Frame_145.png -106,6161 -343,6581 -326,7502 0,5987648 0,08847892 2,812152
Frame_146.png -109,058 -344,2042 -325,7031 0,5972215 0,09044079 2,804672
Frame_147.png -111,4257 -344,6954 -324,6904 0,5957254 0,09232156 2,797427
Frame_148.png -113,6758 -345,1299 -323,73 0,5943069 0,09408958 2,790551
Frame_149.png -116,4693 -345,6281 -322,5402 0,5925517 0,09626117 2,78203
